linkage_id	entity_type	source_key	display_name	strain_or_isolate	accession	accession_database	assembly_level	sequence_status	linkage_status	confidence	local_path	notes
cady2012_bacterium_pa14	bacterium	Cady2012_PA14_CRISPR	Pseudomonas aeruginosa	PA14	NC_008463.1	RefSeq	complete_genome	available	exact	high	data/curation/downloads/bacteria/Pseudomonas_aeruginosa_PA14_NC_008463.1.fasta	Exact PA14 chromosome accession already used in SABR benchmark labels.
cady2012_phage_jbd18	phage	Cady2012_PA14_CRISPR	JBD18	JBD18	JX495041.1	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/JBD18_JBD18_JX495041.1.fasta	Exact JBD18 accession from PA14 CRISPR-resistance source context.
cady2012_phage_jbd25	phage	Cady2012_PA14_CRISPR	JBD25	JBD25	JX495042.1	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/JBD25_JBD25_JX495042.1.fasta	Exact JBD25 accession from PA14 CRISPR-resistance source context.
cady2012_phage_jbd67	phage	Cady2012_PA14_CRISPR	JBD67	JBD67	JX495043.1	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/JBD67_JBD67_JX495043.1.fasta	Exact JBD67 accession from PA14 CRISPR-resistance source context.
magadan2012_bacterium_dgcc7710	bacterium	Magadan2012_CRISPR3	Streptococcus thermophilus	*	CP025216.1	GenBank	complete_genome	available	strain_alias	high	data/curation/downloads/bacteria/Streptococcus_thermophilus___CP025216.1.fasta	BIM rows derive from DGCC7710 derivatives; parent DGCC7710 genome accession is used for first-pass linkage.
magadan2012_phage_2972	phage	Magadan2012_CRISPR3	2972	2972	AY699705.1	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/2972_2972_AY699705.1.fasta	NC_007019.1 is an alternate RefSeq accession for the same phage genome context.
kim2022_phage_kp1	phage	Kim2022_KP1_KP12	KP1	KP1		unknown	unknown	needs_lookup	needs_lookup	medium		Source reports KP1; accession lookup required before genomic feature extraction.
kim2022_phage_kp12	phage	Kim2022_KP1_KP12	KP12	KP12		unknown	unknown	needs_lookup	needs_lookup	medium		Source reports KP12; accession lookup required before genomic feature extraction.
ciacci2018_phage_f48	phage	Ciacci2018_vB_Kpn_F48	vB_Kpn_F48	vB_Kpn_F48	MG746602	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vB_Kpn_F48_vB_Kpn_F48_MG746602.fasta	Primary article states vB_Kpn_F48 nucleotide sequence was deposited under GenBank accession MG746602.
peng2025_phage_xp4	phage	Peng2025_vB_Kp_XP4	vB_Kp_XP4	vB_Kp_XP4	PP663283	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vB_Kp_XP4_vB_Kp_XP4_PP663283.fasta	Primary article states vB_Kp_XP4 complete nucleotide sequence was submitted under GenBank accession PP663283.
