interaction_id	source_key	bacterium	strain	phage	bacterium_genome_linked	bacterium_reference_or_genome_linked	phage_genome_linked	pair_genome_ready	pair_hybrid_ready	dataset_tier
pa14_jbd18_plaque	Cady2012_PA14_CRISPR	Pseudomonas aeruginosa	PA14	JBD18	True	True	True	True	True	tier1_exact_pair
pa14_jbd25_plaque	Cady2012_PA14_CRISPR	Pseudomonas aeruginosa	PA14	JBD25	True	True	True	True	True	tier1_exact_pair
pa14_jbd67_plaque	Cady2012_PA14_CRISPR	Pseudomonas aeruginosa	PA14	JBD67	True	True	True	True	True	tier1_exact_pair
dgcc7710_s4_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S4	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s85_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S85	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s73_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S73	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s77_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S77	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s79_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S79	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s81_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S81	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s82_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S82	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s61_s85_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S61_S85	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s75_s86_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S75_S86	2972	True	True	True	True	True	tier1_exact_pair
dgcc7710_s61_s78_2972_eop	Magadan2012_CRISPR3	Streptococcus thermophilus	DGCC7710_phi2972_plus_S61_S78	2972	True	True	True	True	True	tier1_exact_pair
mirzaei2015_ecor_4_su10_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	SU10	False	True	True	False	True	tier2_proxy_host_exact_phage
mirzaei2015_ecor_4_su16_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	SU16	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_4_su27_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	SU27	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_4_su32_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	SU32	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_4_su63_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	SU63	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_5_su27_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_5	SU27	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_6_su57_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_6	SU57	False	True	True	False	True	tier2_proxy_host_exact_phage
mirzaei2015_ecor_8_su63_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_8	SU63	False	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_10_su10_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	SU10	True	True	True	True	True	tier1_exact_pair
mirzaei2015_ecor_10_su16_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	SU16	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_10_su27_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	SU27	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_10_su63_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	SU63	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_13_su10_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	SU10	True	True	True	True	True	tier1_exact_pair
mirzaei2015_ecor_13_su27_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	SU27	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_15_su32_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	SU32	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_16_su16_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	SU16	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_16_su27_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	SU27	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_16_su32_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	SU32	True	True	False	False	False	tier4_host_only_or_proxy
mirzaei2015_ecor_16_su63_eop	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	SU63	True	True	False	False	False	tier4_host_only_or_proxy
