"cctyper_output_dir","genome_id","organism","taxonomy","assembly_level","source_group","phenotype_label","fasta_path"
"cctyper_runs_batch1/baumannii_AB5075-UW_cctyper","baumannii_AB5075-UW","","","","un_grouped","","bacteria/baumannii_AB5075-UW.fasta"
"cctyper_runs_batch1/coli_C_ATCC_8739_cctyper","coli_C_ATCC_8739","","","","un_grouped","","bacteria/coli_C_ATCC_8739.fasta"
"cctyper_runs_batch1/coli_K-12_MG1655_cctyper","coli_K-12_MG1655","","","","un_grouped","","bacteria/coli_K-12_MG1655.fasta"
"cctyper_runs_batch1/coli_K-12_substr._W3110_cctyper","coli_K-12_substr._W3110","","","","un_grouped","","bacteria/coli_K-12_substr._W3110.fasta"
"cctyper_runs_batch1/Paeruginosa_PA14_cctyper","Paeruginosa_PA14","","","","un_grouped","","bacteria/Paeruginosa_PA14.fasta"
"cctyper_runs_batch1/pneumoniae_Kp52.145_cctyper","pneumoniae_Kp52.145","","","","un_grouped","","bacteria/pneumoniae_Kp52.145.fasta"
"cctyper_runs_batch1/pneumoniae_NTUH-K2044_cctyper","pneumoniae_NTUH-K2044","","","","un_grouped","","bacteria/pneumoniae_NTUH-K2044.fasta"
"cctyper_runs_batch1/Sislandicus_REY15A_cctyper","Sislandicus_REY15A","","","","un_grouped","","bacteria/Sislandicus_REY15A.fasta"
"cctyper_runs_batch1/Ssolfataricus_P2_cctyper","Ssolfataricus_P2","","","","un_grouped","","bacteria/Ssolfataricus_P2.fasta"
"cctyper_runs_batch1/Sthermo_DGCC7710_cctyper","Sthermo_DGCC7710","","","","un_grouped","","bacteria/Sthermo_DGCC7710.fasta"
"cctyper_runs_batch1/Typhimurium_LT2_cctyper","Typhimurium_LT2","","","","un_grouped","","bacteria/Typhimurium_LT2.fasta"
