record_type	name	accession	local_path	record_count	total_bp	source_url	download_date	notes
bacterium	Streptococcus thermophilus SMQ-301	CP011217.1	data/curation/downloads/bacteria/Streptococcus_thermophilus_SMQ-301.fasta	1	1861792	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP011217&rettype=fasta&retmode=text	2026-05-19	Model strain for phage-host interactions; useful host-range/challenge control.
bacterium	Streptococcus thermophilus LMD-9	NC_008532.1	data/curation/downloads/bacteria/Streptococcus_thermophilus_LMD-9.fasta	1	1856368	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_008532&rettype=fasta&retmode=text	2026-05-19	Comparative S. thermophilus reference strain with complete genome.
phage	Streptococcus phage DT1	AF085222.2	data/curation/downloads/phages/Streptococcus_phage_DT1.fasta	1	34815	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AF085222&rettype=fasta&retmode=text	2026-05-19	Phage used in S. thermophilus CRISPR spacer/protospacer studies.
bacterium	Streptococcus pyogenes SF370	NC_002737.2	data/curation/downloads/bacteria/Streptococcus_pyogenes_SF370.fasta	1	1852433	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_002737.2&rettype=fasta&retmode=text	2026-05-19	Curated Type II-A CRISPR-Cas seed genome.
bacterium	Francisella tularensis subsp. novicida U112	NC_008601.1	data/curation/downloads/bacteria/Francisella_novicida_U112.fasta	1	1910031	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_008601.1&rettype=fasta&retmode=text	2026-05-19	Curated Type V-A/Cpf1-Cas12a CRISPR-Cas seed genome.
bacterium	Staphylococcus epidermidis RP62A	NC_002976.3	data/curation/downloads/bacteria/Staphylococcus_epidermidis_RP62A.fasta	1	2616530	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_002976.3&rettype=fasta&retmode=text	2026-05-19	Curated Type III-A CRISPR-Cas seed genome.
bacterium	Leptotrichia shahii JCM16776	AP019827	data/curation/downloads/bacteria/Leptotrichia_shahii_JCM16776.fasta	1	2142946	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP019827&rettype=fasta&retmode=text	2026-05-19	Downloaded Type VI-A candidate genome; excluded from first seed manifest until locus-level labels are curated because it has multiple CRISPR-Cas systems.
bacterium	Pseudomonas aeruginosa PA14	NC_008463.1	data/curation/downloads/bacteria/Pseudomonas_aeruginosa_PA14_NC_008463.1.fasta	1	6537648	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_008463.1&rettype=fasta&retmode=text	2026-06-08	Exact PA14 chromosome accession already used in SABR benchmark labels.
phage	JBD18	JX495041.1	data/curation/downloads/phages/JBD18_JBD18_JX495041.1.fasta	1	39014	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=JX495041.1&rettype=fasta&retmode=text	2026-06-08	Exact JBD18 accession from PA14 CRISPR-resistance source context.
phage	JBD25	JX495042.1	data/curation/downloads/phages/JBD25_JBD25_JX495042.1.fasta	1	39552	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=JX495042.1&rettype=fasta&retmode=text	2026-06-08	Exact JBD25 accession from PA14 CRISPR-resistance source context.
