interaction_id	source_key	source_type	pmid	doi	assay_type	bacterium	strain	bacterial_accession	phage	phage_accession	reference_host	raw_eop	eop_relation	eop_value	eop_class	susceptibility_label	plaque_result	anti_crispr_status	anti_crispr_genes	crispr_interference_evidence	other_defense_evidence	experimental_conditions	curation_status	curation_confidence	notes
sofy2021_k_pneumoniae_1_host_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_1_host		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: food.
sofy2021_k_pneumoniae_2_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_2		KPP-5		reported source reference host	M; 0.2-0.4	range		medium	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: food.
sofy2021_k_pneumoniae_3_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_3		KPP-5		reported source reference host	M; 0.2-0.4	range		medium	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: food.
sofy2021_k_pneumoniae_4_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_4		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: food.
sofy2021_k_pneumoniae_5_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_5		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: food.
sofy2021_k_pneumoniae_6_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_6		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: clinical.
sofy2021_k_pneumoniae_7_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_7		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: clinical.
sofy2021_k_pneumoniae_8_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_8		KPP-5		reported source reference host	M; 0.2-0.4	range		medium	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: clinical.
sofy2021_k_pneumoniae_9_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_9		KPP-5		reported source reference host	H; 0.5-1.0	range		high	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: clinical.
sofy2021_k_pneumoniae_10_kpp5_eop	Sofy2021_KPP5	paper	33805298	10.3390/biomedicines9040342	eop	Klebsiella pneumoniae	K_pneumoniae_10		KPP-5		reported source reference host	M; 0.2-0.4	range		medium	susceptible	clear_plaques	not_evaluated		not_evaluated		Spot test and EOP host-range table; H 0.5-1.0, M 0.2-0.4, L 0.001-0.1, N <0.001.	curated	high	Table 1 source category: clinical.
