source_key	title	url	source_format	status	priority	notes
Cady2012_PA14_CRISPR	The CRISPR/Cas Adaptive Immune System of Pseudomonas aeruginosa Mediates Resistance to Naturally Occurring and Engineered Phages	https://bondydenomylab.com/static/pdf/publications/cady_2012.pdf	PDF	hand_curated	high	PA14/JBD plaque-assay resistance rows curated; numeric EOP not reported in extracted table.
Magadan2012_CRISPR3	Cleavage of Phage DNA by the Streptococcus thermophilus CRISPR3-Cas System	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040913	HTML/table	hand_curated	high	DGCC7710/phage 2972 BIM EOP rows curated from Table 3.
MirzaeiNilsson2015_EOP	Isolation of Phages for Phage Therapy: A Comparison of Spot Tests and Efficiency of Plating Analyses for Determination of Host Range and Efficacy	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0118557	DOCX	table_imported	high	S1 DOCX imported programmatically; 257 measured EOP rows.
Merabishvili2014_Acinetobacter	Characterization of Newly Isolated Lytic Bacteriophages Active against Acinetobacter baumannii	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104853	TIFF	needs_manual_extraction	medium	Table S1 contains Acibel004/Acibel007 EOP/host-range data, but PLOS supplement downloaded as TIFF image.
SalmonellaCocktail2023_EOP	A Bacteriophage Cocktail Reduces Five Relevant Salmonella Serotypes at Low Multiplicities of Infection and Low Temperatures	https://pmc.ncbi.nlm.nih.gov/articles/PMC10535997/	HTML/table	queued	medium	Table 5 reports EOP of six phages against ten Salmonella strains.
AtoyacPhages2021_EOP	A Novel Group of Promiscuous Podophages Infecting Diverse Gammaproteobacteria from River Communities Exhibits Dynamic Intergenus Host Adaptation	https://pmc.ncbi.nlm.nih.gov/articles/PMC7857530/	figure/heatmap	queued	medium	Figure 2 heatmap reports EOP for six Atoyac phages across 54 environmental strains; needs numeric source extraction.
PseudomonasPhages2025_EOP	Six Novel Pseudomonas aeruginosa Phages: Genomic Insights and Therapeutic Potential	https://pmc.ncbi.nlm.nih.gov/articles/PMC12060848/	HTML/table	queued	medium	Reports EOP assay and susceptibility classes for six P. aeruginosa phages.
TherapeuticCocktails2019_EOP	Therapeutic Characterization and Efficacy of Bacteriophage Cocktails Infecting Escherichia coli, Klebsiella pneumoniae, and Enterobacter Species	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.00574/full	HTML/table	queued	high	Multi-genus therapeutic phage source with EOP classes; useful for E. coli, Klebsiella, and Enterobacter modeling.
Sofy2021_KPP5	Characterization and Full Genome Sequence of Novel KPP-5 Lytic Phage against Klebsiella pneumoniae Responsible for Recalcitrant Infection	https://www.mdpi.com/2227-9059/9/4/342	HTML/table	table_imported	high	Imported through scripts/import_embedded_literature_eop.py; 31 strain-level EOP-category rows.
Latka2021_K23Klebsiella	Novel Klebsiella pneumoniae K23-Specific Bacteriophages From Different Families: Similarity of Depolymerases and Their Therapeutic Potential	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2021.669618/full	HTML/table	table_imported	high	Imported through scripts/import_embedded_literature_eop.py; 24 numeric EOP rows.
