source_key	bacterium	strain	query	candidate_rank	assembly_uid	assembly_accession	assembly_name	assembly_level	organism	ftp_path	reported_strain	review_status	notes
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	"""Escherichia coli""[Organism] AND ""ECOR 4""[All Fields]"	0								no_candidate	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_5	"""Escherichia coli""[Organism] AND ""ECOR 5""[All Fields]"	0								no_candidate	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_6	"""Escherichia coli""[Organism] AND ""ECOR 6""[All Fields]"	0								no_candidate	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_8	"""Escherichia coli""[Organism] AND ""ECOR 8""[All Fields]"	0								no_candidate	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	"""Escherichia coli""[Organism] AND ""ECOR 10""[All Fields]"	1	8023381	GCA_014451455.1	PDT000827746.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/451/455/GCA_014451455.1_PDT000827746.1	ECOR-10	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-10 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	"""Escherichia coli""[Organism] AND ""ECOR 10""[All Fields]"	2	6848751	GCA_012531155.1	PDT000619892.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/155/GCA_012531155.1_PDT000619892.1	ECOR-10	rejected	Rejected: another exact assembly was already promoted for this strain.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	"""Escherichia coli""[Organism] AND ""ECOR 13""[All Fields]"	1	8030261	GCA_014464895.1	PDT000827749.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/895/GCA_014464895.1_PDT000827749.1	ECOR-13	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-13 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	"""Escherichia coli""[Organism] AND ""ECOR 13""[All Fields]"	2	6848731	GCA_012531095.1	PDT000619895.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/095/GCA_012531095.1_PDT000619895.1	ECOR-13	rejected	Rejected: another exact assembly was already promoted for this strain.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	"""Escherichia coli""[Organism] AND ""ECOR 15""[All Fields]"	1	8030211	GCA_014464795.1	PDT000827751.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/795/GCA_014464795.1_PDT000827751.1	ECOR-15	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-15 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	"""Escherichia coli""[Organism] AND ""ECOR 15""[All Fields]"	2	6848691	GCA_012531055.1	PDT000619897.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/055/GCA_012531055.1_PDT000619897.1	ECOR-15	rejected	Rejected: another exact assembly was already promoted for this strain.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	"""Escherichia coli""[Organism] AND ""ECOR 16""[All Fields]"	1	8030231	GCA_014464835.1	PDT000827752.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/835/GCA_014464835.1_PDT000827752.1	ECOR-16	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-16 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	"""Escherichia coli""[Organism] AND ""ECOR 16""[All Fields]"	2	6832141	GCA_012501855.1	PDT000619898.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/501/855/GCA_012501855.1_PDT000619898.1	ECOR-16	rejected	Rejected: another exact assembly was already promoted for this strain.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_19	"""Escherichia coli""[Organism] AND ""ECOR 19""[All Fields]"	1	8030191	GCA_014464755.1	PDT000827755.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/755/GCA_014464755.1_PDT000827755.1	ECOR-19	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-19 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	"""Escherichia coli""[Organism] AND ""ECOR 20""[All Fields]"	1	8029541	GCA_014463485.1	PDT000827756.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/485/GCA_014463485.1_PDT000827756.1	ECOR-20	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-20 and full genome representation.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	"""Escherichia coli""[Organism] AND ""ECOR 20""[All Fields]"	2	6849051	GCA_012531715.1	PDT000619902.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/715/GCA_012531715.1_PDT000619902.1	ECOR-20	rejected	Rejected: another exact assembly was already promoted for this strain.
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_21	"""Escherichia coli""[Organism] AND ""ECOR 21""[All Fields]"	1	8029451	GCA_014463305.1	PDT000827757.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/305/GCA_014463305.1_PDT000827757.1	ECOR-21	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-21 and full genome representation.
