source_key	title	url	why_it_matters
Cady2012_PA14_CRISPR	The CRISPR/Cas Adaptive Immune System of Pseudomonas aeruginosa Mediates Resistance to Naturally Occurring and Engineered Phages	https://bondydenomylab.com/static/pdf/publications/cady_2012.pdf	Primary PA14/JBD18/JBD25/JBD67 CRISPR resistance and protospacer/PAM source.
BondyDenomy2013_Acr	Bacteriophage genes that inactivate the CRISPR/Cas bacterial immune system	https://www.nature.com/articles/nature11723	Anti-CRISPR context for PA14 lysogens and CRISPR-sensitive phages.
Barrangou2007_AcquiredResistance	CRISPR provides acquired resistance against viruses in prokaryotes	https://pubmed.ncbi.nlm.nih.gov/17379808/	Foundational S. thermophilus CRISPR spacer acquisition and phage resistance study.
Deveau2008_PhageResponse	Phage response to CRISPR-encoded resistance in Streptococcus thermophilus	https://pubmed.ncbi.nlm.nih.gov/18065545/	Analyzed S. thermophilus BIMs and spacers matching phages 2972, 858, and DT1.
Garneau2010_DGCC7710_Proteomics	Phage-Induced Expression of CRISPR-Associated Proteins Is Revealed by Shotgun Proteomics in Streptococcus thermophilus	https://pmc.ncbi.nlm.nih.gov/articles/PMC3364186/	DGCC7710 and phage 2972 model system; four CRISPR loci and active type II systems.
Magadan2012_CRISPR3	Cleavage of Phage DNA by the Streptococcus thermophilus CRISPR3-Cas System	https://pmc.ncbi.nlm.nih.gov/articles/PMC3401199/	DGCC7710/2972 cautionary PAM case and BIM-derived resistance evidence.
Weinberger2012_Dynamics	The Population and Evolutionary Dynamics of Phage and Bacteria with CRISPR-Mediated Immunity	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003312	DGCC7710/2972 experimental model and SMQ-301 non-host context.
DT1_NCBI	Streptococcus phage DT1 complete genome	https://www.ncbi.nlm.nih.gov/nuccore/AF085222	Public genome accession for S. thermophilus phage DT1.
DGCC7710_NCBI	Streptococcus thermophilus strain DGCC 7710 chromosome, complete genome	https://www.ncbi.nlm.nih.gov/nuccore/CP025216.1	Public genome accession for DGCC7710.
Ecoli_K12_TypeIE_Review	Mechanisms of Type I-E and I-F CRISPR-Cas Systems in Enterobacteriaceae	https://pmc.ncbi.nlm.nih.gov/articles/PMC6368399/	Review source noting E. coli K-12 as a model Type I-E CRISPR-Cas system.
Spyogenes_SF370_TypeIIA	The CRISPR-Cas system of Streptococcus pyogenes: function and applications	https://www.ncbi.nlm.nih.gov/books/NBK587103/	Source noting S. pyogenes SF370 contains a Type II-A CRISPR-Cas system with cas9, cas1, cas2, csn2, and six spacers.
Francisella_U112_Cpf1_TypeVA	Cpf1 Is a Single RNA-Guided Endonuclease of a Class 2 CRISPR-Cas System	https://www.cell.com/cell/fulltext/S0092-8674(15)01200-3	Source describing the Francisella novicida U112 Cpf1/Cas12a CRISPR locus as a Type V system with two CRISPR loci.
Sepidermidis_RP62A_TypeIIIA	Genetic Characterization of Antiplasmid Immunity through a Type III-A CRISPR-Cas System	https://pmc.ncbi.nlm.nih.gov/articles/PMC3911255/	Primary source noting S. epidermidis RP62a harbors a Type III-A CRISPR-Cas system.
Leptotrichia_shahii_TypeVIA	Composition and Diversity of CRISPR-Cas13a Systems in the Genus Leptotrichia	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.02838/full	Source identifying Type VI-A CRISPR-Cas13a systems in Leptotrichia; L. shahii also has multiple systems and needs locus-level curation before training inclusion.
