interaction_id	source_key	source_type	pmid	doi	assay_type	bacterium	strain	bacterial_accession	phage	phage_accession	reference_host	raw_eop	eop_relation	eop_value	eop_class	susceptibility_label	plaque_result	anti_crispr_status	anti_crispr_genes	crispr_interference_evidence	other_defense_evidence	experimental_conditions	curation_status	curation_confidence	notes
pa14_jbd18_plaque	Cady2012_PA14_CRISPR	paper		10.1128/JB.01184-12	plaque_assay	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD18	JX495041.1	PA14 delta CRISPR/cas	not reported	not_reported		not_reported	resistant	no_plaques	absent		experimental		LB agar, 37 C overnight plaque/spot assay	curated	medium	Cady et al. report JBD18 replication blocked by the endogenous PA14 type I-F CRISPR-Cas system; figure-based plaque assay, not a numeric EOP table.
pa14_jbd25_plaque	Cady2012_PA14_CRISPR	paper		10.1128/JB.01184-12	plaque_assay	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD25	JX495042.1	PA14 delta CRISPR/cas	not reported	not_reported		not_reported	resistant	no_plaques	absent		experimental		LB agar, 37 C overnight plaque/spot assay	curated	medium	Cady et al. report JBD25 replication blocked by endogenous PA14 CRISPR-Cas and linked to CRISPR1 spacer targeting; no numeric EOP extracted yet.
pa14_jbd67_plaque	Cady2012_PA14_CRISPR	paper		10.1128/JB.01184-12	plaque_assay	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD67	JX495043.1	PA14 delta CRISPR/cas	not reported	not_reported		not_reported	resistant	no_plaques	absent		experimental		LB agar, 37 C overnight plaque/spot assay	curated	medium	Cady et al. report JBD67 replication blocked by endogenous PA14 CRISPR-Cas; figure-based plaque assay, not a numeric EOP table.
dgcc7710_s4_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S4	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	6.7e-6	=	6.7e-6	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (6.7 +/- 5.4)e-6 for BIM S4 with CRISPR1 spacer S4.
dgcc7710_s85_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S85	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	3.0e-6	=	3.0e-6	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (3.0 +/- 2.0)e-6 for BIM S85 with CRISPR1 spacer S85.
dgcc7710_s73_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S73	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	3.6e-4	=	3.6e-4	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (3.6 +/- 1.7)e-4 for BIM S73 with CRISPR3 spacer S73.
dgcc7710_s77_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S77	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	9.6e-6	=	9.6e-6	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (9.6 +/- 0.8)e-6 for BIM S77 with CRISPR3 spacer S77.
dgcc7710_s79_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S79	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	6.9e-6	=	6.9e-6	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (6.9 +/- 4.0)e-6 for BIM S79 with CRISPR3 spacer S79.
dgcc7710_s81_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S81	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	1.1e-5	=	1.1e-5	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (1.1 +/- 0.4)e-5 for BIM S81 with CRISPR3 spacer S81.
dgcc7710_s82_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S82	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	9.4e-6	=	9.4e-6	trace	resistant	pinpoint_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP (9.4 +/- 3.0)e-6 for BIM S82 with CRISPR3 spacer S82.
dgcc7710_s61_s85_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S61_S85	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	<1e-8	<	1e-8	none	resistant	no_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP <1e-8 for BIM S61/S85 with CRISPR3 spacer S61 and CRISPR1 spacer S85.
dgcc7710_s75_s86_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S75_S86	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	<1e-8	<	1e-8	none	resistant	no_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP <1e-8 for BIM S75/S86 with CRISPR3 spacer S75 and CRISPR1 spacer S86.
dgcc7710_s61_s78_2972_eop	Magadan2012_CRISPR3	paper		10.1371/journal.pone.0040913	eop	Streptococcus thermophilus	DGCC7710_phi2972_plus_S61_S78	CP025216.1	2972	AY699705.1;NC_007019.1	DGCC7710	<1e-8	<	1e-8	none	resistant	no_plaques	absent		experimental		LM17-CaCl2, OD600 0.6 before plating, EOP mean of at least three assays	curated	high	Table 3 reports EOP <1e-8 for BIM S61/S78 with CRISPR3 spacers S61 and S78.
mirzaei2015_ecor_4_su10_eop	MirzaeiNilsson2015_EOP	supplement	25794006	10.1371/journal.pone.0118557	eop	Escherichia coli	ECOR_4		SU10		primary isolation host	< 0.001	<	0.001	none	resistant	no_plaques	not_evaluated		not_evaluated	P2 prophage marker: 4	Stationary-phase bacteria, double-layer plaque assay, 30 C overnight; EOP is average PFU on target divided by average PFU on host, three measurements.	curated	high	Imported from S1 Table; blank source cells were not treated as measured interactions.
mirzaei2015_ecor_4_su16_eop	MirzaeiNilsson2015_EOP	supplement	25794006	10.1371/journal.pone.0118557	eop	Escherichia coli	ECOR_4		SU16		primary isolation host	0.04±0.02	=	0.04	low	reduced_susceptibility	pinpoint_plaques	not_evaluated		not_evaluated	P2 prophage marker: 4	Stationary-phase bacteria, double-layer plaque assay, 30 C overnight; EOP is average PFU on target divided by average PFU on host, three measurements.	curated	high	Imported from S1 Table; blank source cells were not treated as measured interactions.
