pair_id	tier	expected_label	bacterium	strain	bacterial_accession	phage	phage_accession	local_bacterium_file	local_phage_file	evidence_basis	benchmark_use	source_keys	notes
pa14_jbd18	A	validated_crispr_resistance	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD18	JX495041.1	Paeruginosa_PA14.fasta	PhageJBD18.fasta	PA14 CRISPR-Cas blocks JBD18; literature reports 100% spacer/protospacer matches and required PAM.	positive_control	Cady2012_PA14_CRISPR;BondyDenomy2013_Acr	SABR full run found 5 unique spacers; needs PAM/seed filtering to distinguish validated functional protospacers from additional BLAST hits.
pa14_jbd25	A	validated_crispr_resistance	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD25	JX495042.1	Paeruginosa_PA14.fasta	PhageJBD25.fasta	PA14 CRISPR1 blocks JBD25; literature reports one predicted spacer match with PAM.	positive_control	Cady2012_PA14_CRISPR	SABR full run found 1 unique exact spacer, consistent with a strong sanity check.
pa14_jbd67	A	validated_crispr_resistance	Pseudomonas aeruginosa	PA14	NC_008463.1	JBD67	JX495043.1	Paeruginosa_PA14.fasta	PhageJBD67.fasta	PA14 CRISPR-Cas blocks JBD67; literature reports overlap with JBD18 protospacer set with one mismatch in one target.	positive_control	Cady2012_PA14_CRISPR;BondyDenomy2013_Acr	SABR full run found 4 unique spacers; needs PAM/seed filtering.
pa14_dms3	B	challenge_caution	Pseudomonas aeruginosa	PA14	NC_008463.1	DMS3	DQ631426.1;NC_008717.1	Paeruginosa_PA14.fasta	PhageDMS3.fasta;DMS3.fasta	DMS3 appears in PA14 CRISPR/anti-CRISPR literature but should not be treated as a simple validated resistance positive without checking exact construct/context.	challenge_control	Cady2012_PA14_CRISPR;BondyDenomy2013_Acr	Local data contain duplicate-looking DMS3 files and the current SABR hit lacks PAM support. Split DMS3 and PhageDMS3 by accession/sequence hash before using this row as anything stronger than a low-score challenge.
dgcc7710_2972_wt	B	challenge_caution	Streptococcus thermophilus	DGCC7710	CP025216.1	2972	AY699705.1	Sthermo_DGCC7710.fasta	Phi2972.fasta	Wild-type DGCC7710 has a CRISPR3 spacer perfectly matching 2972 but no interference was observed because PAM was absent; BIMs can acquire new spacers conferring resistance.	cautionary_pam_control	Garneau2010_DGCC7710_Proteomics;Magadan2012_CRISPR3	This is the key case proving SABR needs PAM evaluation before resistance interpretation.
dgcc7710_858	C	derived_bim_resistance_model	Streptococcus thermophilus	DGCC7710	CP025216.1	858	NC_010353.1	Sthermo_DGCC7710.fasta	Phi858.fasta	BIM/spacer acquisition studies compare newly acquired spacers against phage 858 genome.	acquisition_model	Barrangou2007_AcquiredResistance;Deveau2008_PhageResponse	Wild-type phenotype may not be resistant; derived BIM genomes/spacers should be curated from supplements if available.
dgcc7710_dt1	C	derived_bim_resistance_model	Streptococcus thermophilus	DGCC7710	CP025216.1	DT1	AF085222;NC_002072	Sthermo_DGCC7710.fasta		DGCC7710/S. thermophilus phage response studies use DT1 among complete phage genomes for spacer/protospacer analysis.	acquisition_model	Deveau2008_PhageResponse;DT1_NCBI	Phage DT1 FASTA should be added to local examples; host derived BIM labels require supplement curation.
dgcc7710_2972_bim	C	derived_bim_validated_resistance	Streptococcus thermophilus	DGCC7710 BIMs	unknown_or_supplement	2972	AY699705.1		Phi2972.fasta	BIMs generated after 2972 challenge acquire CRISPR1/CRISPR3 spacers and show resistance; exact derived genome records are not in current local FASTA set.	future_positive_control	Barrangou2007_AcquiredResistance;Deveau2008_PhageResponse;Magadan2012_CRISPR3	Use only if exact BIM spacer sequences or genomes are curated from supplements.
smq301_2972_nonhost	C	nonhost_resistance_context	Streptococcus thermophilus	SMQ-301	needs_accession	2972	AY699705.1		Phi2972.fasta	SMQ-301 was used as a non-host resistant strain in population dynamics experiments with 2972.	host_range_control	Weinberger2012_Dynamics	Resistance may be receptor/host-range rather than CRISPR; useful negative/challenge case for SABR specificity.
smq301_2972_downloaded	C	nonhost_resistance_context	Streptococcus thermophilus	SMQ-301	CP011217.1	2972	AY699705.1	data/curation/downloads/bacteria/Streptococcus_thermophilus_SMQ-301.fasta	Phi2972.fasta	Downloaded complete SMQ-301 genome enables a host-range/challenge comparison against phage 2972.	host_range_control	Weinberger2012_Dynamics	Do not interpret as CRISPR-mediated resistance without spacer/PAM support; included to challenge specificity.
