cas_subtype,current_count,candidate_count,novel_nonconflicting_count,balanced_candidate_count
I-E,1295,10982,1528,500
II-C,414,1451,489,489
I-C,639,1847,447,447
I-B,549,1517,359,359
III-A,217,1637,266,266
III-B,216,833,253,253
I-G,0,379,251,251
I-F,646,2172,235,235
III-D,114,422,180,180
II-A,340,1106,179,179
I-A,154,545,132,132
I-D,113,247,95,95
V-K,0,66,66,66
VI-B1,41,118,22,22
V-A,30,49,16,16
III-C,16,52,15,15
V-B,4,15,11,11
II-B,22,55,9,9
VI-A,7,7,5,5
V-B1,0,4,4,4
V-F4,0,1,1,1
VI-C,2,2,0,0
I-U,58,0,0,0
I-V,7,0,0,0
