true_subtype,row_count,accuracy,mean_confidence,median_confidence
III-C,22,0.2727272727272727,0.6513636363636364,0.6950000000000001
III-D,98,0.42857142857142855,0.5792091836734694,0.46875
III-B,199,0.5276381909547738,0.6420145299048674,0.5758914510686164
I-D,47,0.6595744680851063,0.6665425531914894,0.81
II-B,11,0.8181818181818182,0.706590909090909,1.0
I-A,160,0.8625,0.810546875,0.9975
III-A,403,0.8784119106699751,0.8751861042183623,1.0
I-B,373,0.9249329758713136,0.7995174262734586,0.9525
VI-B1,19,0.9473684210526315,0.7834210526315789,1.0
II-C,355,0.971830985915493,0.9167505267827437,1.0
I-G,90,0.9777777777777777,0.7829444444444444,0.80125
I-C,441,0.9841269841269841,0.9212074829931973,1.0
I-F,549,0.9854280510018215,0.9691772550213938,1.0
II-A,280,0.9892857142857143,0.9452142857142858,1.0
I-E,2797,0.9978548444762245,0.9877843584370674,1.0
V-K,17,1.0,0.8372058823529411,0.995
V-A,10,1.0,0.75725,0.8225
