confidence_threshold,row_count,coverage_fraction,accuracy
0.0,1215,1.0,0.9152263374485596
0.05,1215,1.0,0.9152263374485596
0.1,1215,1.0,0.9152263374485596
0.15,1214,0.9991769547325103,0.9151565074135091
0.2,1199,0.9868312757201646,0.9216013344453712
0.25,1157,0.9522633744855967,0.9438202247191011
0.3,1108,0.9119341563786009,0.9638989169675091
0.35,1067,0.8781893004115227,0.9756326148078726
0.4,1032,0.8493827160493828,0.9757751937984496
0.45,995,0.8189300411522634,0.978894472361809
0.5,932,0.7670781893004115,0.9849785407725322
0.55,880,0.7242798353909465,0.9897727272727272
0.6,807,0.6641975308641975,0.9938042131350682
0.65,699,0.5753086419753086,0.9928469241773963
0.7,603,0.4962962962962963,0.9933665008291874
0.75,536,0.4411522633744856,0.9925373134328358
0.8,468,0.3851851851851852,0.9957264957264957
0.85,405,0.3333333333333333,0.9950617283950617
0.9,338,0.2781893004115226,0.9940828402366864
0.95,258,0.2123456790123457,0.9961240310077519
1.0,96,0.07901234567901234,1.0
