true_subtype,row_count,accuracy,mean_confidence,median_confidence
III-D,15,0.4,0.30083333333333334,0.2325
III-A,53,0.4339622641509434,0.3277830188679245,0.2975
III-B,42,0.5714285714285714,0.40630952380952384,0.3575
VI-B1,3,0.6666666666666666,0.31416666666666665,0.27
I-D,26,0.6923076923076923,0.44903846153846155,0.4275
I-A,64,0.78125,0.53421875,0.52625
I-U,5,0.8,0.357,0.4275
I-B,166,0.927710843373494,0.6365210843373493,0.66
I-C,191,0.9685863874345549,0.7622643979057592,0.8375
II-A,167,0.9880239520958084,0.6526497005988025,0.67
I-F,116,0.9913793103448276,0.8424568965517241,0.9925
I-E,248,0.9959677419354839,0.8818245967741936,0.915
II-C,107,1.0,0.6154672897196262,0.6175
V-A,12,1.0,0.6714583333333334,0.685
