feature,importance,category
repeat_length,0.010032275424272867,repeat composition
spacer_repeat_length_ratio,0.009742505002939923,array statistics
mean_spacer_length,0.008250086873030303,array statistics
min_spacer_length,0.008042373980471135,other
max_spacer_length,0.00792021931299456,other
median_spacer_length,0.007763437868469812,other
terminal_kmer_4_CAAC,0.005877179205725274,terminal k-mer
repeat_at_percent,0.005828131064695288,repeat composition
repeat_gc_percent,0.005695267201217873,repeat composition
terminal_kmer_4_GTTG,0.005268132804207342,terminal k-mer
terminal_kmer_4_ACGT,0.00499360175383214,terminal k-mer
terminal_kmer_4_ACTG,0.004792212273439177,terminal k-mer
terminal_kmer_4_TTTC,0.004742940504271823,terminal k-mer
terminal_kmer_4_CAGT,0.004451113183089417,terminal k-mer
repeat_hairpin_score,0.0044076264069134235,repeat structure
kmer_2_CG,0.00440014819188947,whole-repeat k-mer
repeat_longest_inverted_stem,0.004235793919558118,repeat structure
kmer_4_TGCC,0.004225436588910636,whole-repeat k-mer
kmer_4_GTTG,0.0041539233632879565,whole-repeat k-mer
terminal_kmer_4_GAAA,0.004137498962881824,terminal k-mer
kmer_4_AGCT,0.004105621199063412,whole-repeat k-mer
kmer_2_GC,0.004085725965173218,whole-repeat k-mer
repeat_end_4_C_fraction,0.004059682003047406,terminal composition
kmer_2_TA,0.004041375503307479,whole-repeat k-mer
repeat_start_6_C_fraction,0.0039228185919144044,terminal composition
kmer_4_GGCA,0.003898753260976472,whole-repeat k-mer
kmer_4_CTAC,0.003884603191182015,whole-repeat k-mer
repeat_end_6_G_fraction,0.003800733381244991,terminal composition
terminal_kmer_4_TGAA,0.0037622829689204413,terminal k-mer
kmer_3_GGG,0.003758758179983454,whole-repeat k-mer
kmer_2_GG,0.0036129673227573563,whole-repeat k-mer
kmer_4_CAAC,0.003563654202497381,whole-repeat k-mer
kmer_3_CCC,0.0035603618493532307,whole-repeat k-mer
terminal_kmer_4_TAGA,0.0035583183861252633,terminal k-mer
terminal_kmer_2_TA,0.003548445341610624,terminal k-mer
repeat_start_6_G_fraction,0.0035448792021608396,terminal composition
repeat_end_6_C_fraction,0.0035171720797617157,terminal composition
