feature,importance_mean,importance_std,baseline_accuracy,category
kmer_2_CC,0.0006472491909385036,0.0002503310927729171,0.9454948049735991,whole-repeat k-mer
repeat_self_rc_identity,0.0005109862033724655,0.0003406574689150066,0.9454948049735991,repeat structure
kmer_3_GGG,0.00040878896269800344,0.00023104513653977608,0.9454948049735991,whole-repeat k-mer
kmer_3_CCC,0.0003406574689150066,0.00024088120633163098,0.9454948049735991,whole-repeat k-mer
terminal_kmer_4_ACGT,0.000306591722023497,6.813149378297468e-05,0.9454948049735991,terminal k-mer
repeat_gc_skew,0.00020439448134901284,0.00019863573138631844,0.9454948049735991,repeat composition
kmer_2_CG,0.0001703287344575255,0.00010772535037193592,0.9454948049735991,whole-repeat k-mer
terminal_kmer_4_GAAA,0.00013626298756603817,6.813149378301907e-05,0.9454948049735991,terminal k-mer
terminal_kmer_4_CAAC,0.00013626298756603817,6.813149378301907e-05,0.9454948049735991,terminal k-mer
repeat_end_6_G_fraction,0.00013626298756601595,0.00022596660128466908,0.9454948049735991,terminal composition
terminal_kmer_4_ACTG,0.00010219724067452862,8.344369759100056e-05,0.9454948049735991,terminal k-mer
median_spacer_length,0.00010219724067450642,0.0002549247069850961,0.9454948049735991,other
kmer_4_TGCC,0.00010219724067450642,0.0001362629875659993,0.9454948049735991,whole-repeat k-mer
kmer_4_AGCT,6.813149378301909e-05,0.00013626298756603817,0.9454948049735991,whole-repeat k-mer
terminal_kmer_4_TTGA,6.813149378301909e-05,0.00013626298756603815,0.9454948049735991,terminal k-mer
kmer_4_CAAC,0.0,0.00010772535037197102,0.9454948049735991,whole-repeat k-mer
kmer_4_GGCA,0.0,0.00010772535037197102,0.9454948049735991,whole-repeat k-mer
kmer_4_GTTG,-3.4065746891509543e-05,0.0001274623534925881,0.9454948049735991,whole-repeat k-mer
repeat_end_6_C_fraction,-3.406574689153174e-05,0.00019863573138632608,0.9454948049735991,terminal composition
kmer_2_GG,-6.813149378299687e-05,0.00025492470698509315,0.9454948049735991,whole-repeat k-mer
repeat_start_6_C_fraction,-6.813149378301909e-05,8.344369759100056e-05,0.9454948049735991,terminal composition
repeat_longest_inverted_stem,-0.00010219724067450642,0.00025492470698509613,0.9454948049735991,repeat structure
repeat_gc_percent,-0.00013626298756599375,0.00019863573138632226,0.9454948049735991,repeat composition
terminal_kmer_2_TA,-0.00013626298756601595,0.00029304463522543135,0.9454948049735991,terminal k-mer
repeat_start_6_G_fraction,-0.00013626298756601595,0.0001274623534925525,0.9454948049735991,terminal composition
mean_spacer_length,-0.0001703287344575033,0.00028501448698148166,0.9454948049735991,array statistics
array_length_estimate,-0.0001703287344575255,0.00018658578010737214,0.9454948049735991,array statistics
repeat_hairpin_score,-0.0001703287344575255,0.00010772535037193592,0.9454948049735991,repeat structure
kmer_4_TAGA,-0.0001703287344575255,0.00010772535037193592,0.9454948049735991,whole-repeat k-mer
terminal_kmer_4_TAGA,-0.0001703287344575255,0.00010772535037193592,0.9454948049735991,terminal k-mer
kmer_4_CTAC,-0.0001703287344575255,0.00010772535037193592,0.9454948049735991,whole-repeat k-mer
max_spacer_length,-0.00023846022824050017,0.0002969782962725633,0.9454948049735991,other
terminal_kmer_4_TGAA,-0.0002725259751320097,0.000173701908144872,0.9454948049735991,terminal k-mer
terminal_kmer_4_CAGT,-0.0002725259751320097,8.344369759094617e-05,0.9454948049735991,terminal k-mer
spacer_count,-0.0002725259751320097,0.00029697829627257086,0.9454948049735991,array statistics
min_spacer_length,-0.000306591722023497,0.00022596660128462555,0.9454948049735991,other
terminal_kmer_4_GTTG,-0.0003406574689149844,0.0,0.9454948049735991,terminal k-mer
repeat_end_4_C_fraction,-0.00037472321580651614,0.0001274623534925525,0.9454948049735991,terminal composition
kmer_2_GC,-0.00047692045648102256,0.0001668873951819331,0.9454948049735991,whole-repeat k-mer
repeat_at_percent,-0.0005109862033724876,0.0003572845675933157,0.9454948049735991,repeat composition
repeat_length,-0.0005450519502639972,0.00033027967006751753,0.9454948049735991,repeat composition
terminal_kmer_4_TTTC,-0.000613183444046994,8.344369759094616e-05,0.9454948049735991,terminal k-mer
kmer_2_TA,-0.000681314937829991,0.00018658578010733161,0.9454948049735991,whole-repeat k-mer
spacer_repeat_length_ratio,-0.0007835121785044752,0.0001362629875659993,0.9454948049735991,array statistics
