source_key	bacterium	strain	query	candidate_rank	ncbi_uid	candidate_accession	candidate_title	candidate_length	review_status	notes
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	"""Escherichia coli""[Organism] AND ""ECOR 4""[All Fields]"	1	1807581350	NZ_LT985307	Escherichia coli strain ECOR 4 plasmid RCS86_pI, complete sequence	6069	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	"""Escherichia coli""[Organism] AND ""ECOR 4""[All Fields]"	2	1360517986	LT985307	Escherichia coli strain ECOR 4 genome assembly, plasmid: RCS86_pI	6069	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_4	"""Escherichia coli""[Organism] AND ""ECOR 4""[All Fields]"	3	18104373	AF359714	Escherichia coli strain ECOR 4 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_5	"""Escherichia coli""[Organism] AND ""ECOR 5""[All Fields]"	1	1444379507	MF993521	Escherichia coli strain EcoR-5 beta-lactamase TEM (blaTEM) gene, partial cds	858	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_5	"""Escherichia coli""[Organism] AND ""ECOR 5""[All Fields]"	2	18104375	AF359715	Escherichia coli strain ECOR 5 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_5	"""Escherichia coli""[Organism] AND ""ECOR 5""[All Fields]"	3	21666172	AF359642	Escherichia coli strain ECOR 5 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_6	"""Escherichia coli""[Organism] AND ""ECOR 6""[All Fields]"	1	1797946683	NZ_LT985299	Escherichia coli strain ECOR 6 plasmid RCS91_p, complete sequence	13593	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_6	"""Escherichia coli""[Organism] AND ""ECOR 6""[All Fields]"	2	1360517450	LT985299	Escherichia coli strain ECOR 6 genome assembly, plasmid: RCS91_p	13593	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_6	"""Escherichia coli""[Organism] AND ""ECOR 6""[All Fields]"	3	18104377	AF359716	Escherichia coli strain ECOR 6 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_8	"""Escherichia coli""[Organism] AND ""ECOR 8""[All Fields]"	1	6539153	AF159702	AF159702 Escherichia coli ECOR 8 Escherichia coli genomic, genomic survey sequence	619	needs_review	
